Reference, Quantity, Value, Footprint, Datasheet, Field4
C1 ,1,0.1UF-0603-25V-_+80_-20%_,Capacitors:0603,,CAP-00810
C2 ,1,4.7UF0603,Capacitors:0603,,CAP-08280
F1 F2 F3 F4 ,4,Fiducial,Aesthetics:FIDUCIAL-MICRO,
J1 J2 ,2,QWIIC_CONNECTORJS-1MM,Connectors:1X04_1MM_RA,,CONN-13694
J3 ,1,CONN_01,Connectors:1X01,,XXX-00000
J4 ,1,I2C_STANDARD,Connectors:1X04,,XXX-00000
JP1 ,1,JUMPER-SMT_3_2-NC_PASTE_SILK,SparkFun-Jumpers:SMT-JUMPER_3_2-NC_PASTE_SILK,
LOGO1 ,1,SPARKFUN-AESTHETICS_OSHW-LOGOS,SparkFun-Aesthetics:OSHW-LOGO-MINI,
LOGO2 LOGO3 ,2,SFE_LOGO_NAME_FLAME.1_INCH,Aesthetics:SFE_LOGO_NAME_FLAME_.1,,XXX-00000
MK1 MK2 ,2,Mounting_Hole,SparkFun-Hardware:STAND-OFF,
R1 R2 ,2,4.7KOHM-0603-1_10W-1%,Resistors:0603,,RES-07857
U1 ,1,RFD77402,Silicon-Custom:RFD77402,,IC-13870
U4 ,1,CC_LICENSE,SparkFun-Aesthetics:CREATIVE_COMMONS,